date,annee,mois,semaine_epidemio,region,latitude_region,longitude_region,population_region,femmes_enceintes,enfants_moins_5_ans,naissances_semaine,porteurs_chroniques_estimes,prevalence_aghbs_region,femmes_enceintes_depistees,femmes_enceintes_aghbs_positives,enfants_exposes_aghbs,enfants_vaccines_naissance,enfants_devenus_porteurs,taux_transmission_mere_enfant,couverture_vaccinale_naissance,cas_chroniques_enfants,cas_chroniques_adultes,cas_chroniques_seniors,cas_aigus,nouveaux_diagnostics_aghbs,cas_chroniques_suivis,deces,new_recoveries,total_recoveries,tests_depistage,personnes_traitees,taux_incidence,taux_letalite,taux_depistage,taux_positivite_aghbs
2020-01-15,2020,1,2020-W03,Menabe,-20.2833,44.7833,819876,24596,122981,394,68459,0.0835,5705,465,32,178,4,12.5,45.2,1053,4563,1404,0,319,7020,0,0,0,4303,1697,0.0835,0.0,0.5248,8.15
2020-01-15,2020,1,2020-W03,Diana,-12.2787,49.2917,1053715,31611,158057,506,82189,0.078,6625,520,39,236,5,12.82,46.77,1292,5602,1725,0,343,8619,0,0,0,4534,1953,0.078,0.0,0.4303,7.85
2020-01-15,2020,1,2020-W03,SAVA,-14.2833,50.1667,1330546,39916,199581,639,99924,0.0751,9186,668,47,296,5,10.64,46.45,1587,6880,2119,0,508,10586,0,0,0,7574,2461,0.0751,0.0,0.5692,7.27
2020-01-15,2020,1,2020-W03,Androy,-25.1667,46.0833,1065878,31976,159881,512,87401,0.082,6958,586,41,234,5,12.2,45.87,1418,6145,1891,0,387,9454,0,0,0,4800,2402,0.082,0.0,0.4503,8.42
2020-01-15,2020,1,2020-W03,Anosy,-25.0333,46.9833,957916,28737,143687,460,75962,0.0793,6775,500,36,208,4,11.11,45.39,1237,5363,1652,0,336,8252,0,0,0,5003,2089,0.0793,0.0,0.5223,7.38
2020-01-22,2020,1,2020-W04,Analamanga,-18.9137,47.5247,4290727,128721,643609,2062,269886,0.0629,27878,1631,129,934,18,13.95,45.34,4392,19035,5858,0,1503,29285,0,0,0,20802,7249,0.0629,0.0,0.4848,5.85
2020-01-22,2020,1,2020-W04,Bongolava,-18.9333,45.6667,794456,23833,119168,381,52831,0.0665,5412,332,25,178,3,12.0,46.89,721,3127,964,0,289,4812,0,0,0,4002,1163,0.0665,0.0,0.5037,6.13
2020-01-22,2020,1,2020-W04,Itasy,-19.0167,46.7667,1063882,31916,159582,511,63620,0.0598,5958,349,30,230,4,13.33,45.17,945,4095,1261,0,294,6301,0,0,0,4992,1488,0.0598,0.0,0.4692,5.86
2020-01-22,2020,1,2020-W04,Vakinankaratra,-19.8667,47.0333,2462316,73869,369347,1183,154633,0.0628,12861,807,74,528,11,14.86,44.64,2093,9072,2792,0,791,13957,0,0,0,11633,3603,0.0628,0.0,0.4724,6.27
2020-01-22,2020,1,2020-W04,Amoron'i Mania,-20.0,47.1167,991145,29734,148671,476,66604,0.0672,5111,337,31,205,4,12.9,43.13,1048,4545,1400,0,363,6993,0,0,0,4960,1646,0.0672,0.0,0.5004,6.59
2020-01-22,2020,1,2020-W04,Haute Matsiatra,-21.4536,47.0854,1710391,51311,256558,822,114596,0.067,8992,546,55,368,7,12.73,44.87,1727,7484,2304,0,551,11515,0,0,0,7066,2844,0.067,0.0,0.4131,6.07
2020-01-22,2020,1,2020-W04,Vatovavy,-21.3167,47.9333,576905,17307,86535,277,44652,0.0774,2984,216,21,129,3,14.29,46.63,657,2848,878,0,202,4383,0,0,0,2738,991,0.0774,0.0,0.4746,7.24
2020-01-22,2020,1,2020-W04,Fitovinany,-21.45,47.6167,1011279,30338,151691,486,75845,0.075,6453,438,36,212,4,11.11,43.75,1205,5225,1609,0,343,8039,0,0,0,5404,1880,0.075,0.0,0.5344,6.79
2020-01-22,2020,1,2020-W04,Ihorombe,-22.55,46.95,494097,14822,74114,237,33845,0.0685,2489,161,16,109,2,12.5,46.0,477,2069,638,0,192,3184,0,0,0,2796,763,0.0685,0.0,0.5659,6.47
2020-01-22,2020,1,2020-W04,Atsimo-Atsinanana,-22.9,47.65,1220000,36600,183000,586,91256,0.0748,6106,430,43,251,5,11.63,42.87,1455,6307,1942,0,479,9704,0,0,0,6302,2349,0.0748,0.0,0.5166,7.04
2020-01-22,2020,1,2020-W04,Atsinanana,-18.1492,49.4023,1750511,52515,262576,841,128837,0.0736,10882,763,61,383,8,13.11,45.56,2105,9125,2809,0,672,14039,0,0,0,8934,3694,0.0736,0.0,0.5104,7.01
2020-01-22,2020,1,2020-W04,Analanjirofo,-17.3333,49.4,864183,25925,129627,415,63344,0.0733,5158,407,30,192,3,10.0,46.35,975,4226,1302,0,244,6503,0,0,0,3495,1547,0.0733,0.0,0.4044,7.89
2020-01-22,2020,1,2020-W04,Ambatosoa,-21.0333,47.6333,652462,19573,97869,313,50043,0.0767,4673,360,24,136,3,12.5,43.52,762,3302,1016,0,247,5080,0,0,0,2633,1212,0.0767,0.0,0.4035,7.7
2020-01-22,2020,1,2020-W04,Alaotra-Mangoro,-17.8333,48.4167,1479918,44397,221987,711,104630,0.0707,10050,668,50,304,6,12.0,42.8,1600,6937,2136,0,732,10673,0,0,0,8583,2756,0.0707,0.0,0.58,6.65
2020-01-22,2020,1,2020-W04,Boeny,-15.7167,46.3167,1100305,33009,165045,528,103758,0.0943,6387,588,49,238,5,10.2,45.09,1588,6882,2119,0,516,10589,0,0,0,4767,2512,0.0943,0.0,0.4332,9.21
2020-01-22,2020,1,2020-W04,Sofia,-14.8833,48.0333,1784988,53549,267748,858,156721,0.0878,10091,924,75,378,10,13.33,44.09,2460,10660,3281,0,868,16401,0,0,0,8839,3866,0.0878,0.0,0.4952,9.16
2020-01-22,2020,1,2020-W04,Betsiboka,-16.95,46.8167,465641,13969,69846,223,39858,0.0856,2900,225,19,100,2,10.53,44.98,547,2370,730,0,216,3647,0,0,0,2173,953,0.0856,0.0,0.4667,7.76
2020-01-22,2020,1,2020-W04,Melaky,-16.1167,44.7667,365790,10973,54868,175,32994,0.0902,2137,182,15,81,2,13.33,46.44,481,2084,642,0,169,3207,0,0,0,1971,736,0.0902,0.0,0.5388,8.52
2020-01-22,2020,1,2020-W04,Atsimo-Andrefana,-23.35,43.6667,2128706,63861,319305,1023,174341,0.0819,15072,1221,83,445,11,13.25,43.58,2698,11691,3598,0,1149,17987,0,0,0,12231,4669,0.0819,0.0,0.5746,8.1
2020-01-22,2020,1,2020-W04,Menabe,-20.2833,44.7833,819876,24596,122981,394,68459,0.0835,4898,386,32,185,4,12.5,47.19,961,4165,1282,0,317,6408,0,0,0,3344,1623,0.0835,0.0,0.4079,7.88
2020-01-22,2020,1,2020-W04,Diana,-12.2787,49.2917,1053715,31611,158057,506,80293,0.0762,6821,498,38,237,5,13.16,46.91,1287,5578,1717,0,491,8582,0,0,0,6204,2067,0.0762,0.0,0.5888,7.3
2020-01-22,2020,1,2020-W04,SAVA,-14.2833,50.1667,1330546,39916,199581,639,97795,0.0735,8290,576,46,276,5,10.87,43.29,1339,5803,1787,0,518,8929,0,0,0,7175,2149,0.0735,0.0,0.5393,6.95
2020-01-22,2020,1,2020-W04,Androy,-25.1667,46.0833,1065878,31976,159881,512,87508,0.0821,5931,499,42,239,5,11.9,46.74,1186,5142,1584,0,332,7912,0,0,0,4760,2126,0.0821,0.0,0.4466,8.41
2020-01-22,2020,1,2020-W04,Anosy,-25.0333,46.9833,957916,28737,143687,460,77016,0.0804,6434,568,36,203,5,13.89,44.33,1241,5380,1656,0,385,8277,0,0,0,4601,2269,0.0804,0.0,0.4803,8.83
2020-01-29,2020,1,2020-W05,Analamanga,-18.9137,47.5247,4290727,128721,643609,2062,265596,0.0619,24934,1616,127,903,15,11.81,43.82,3771,16343,5030,0,1201,25144,0,0,0,20206,5710,0.0619,0.0,0.4709,6.48
2020-01-29,2020,1,2020-W05,Bongolava,-18.9333,45.6667,794456,23833,119168,381,52831,0.0665,4628,300,25,174,2,8.0,45.81,779,3377,1040,0,364,5196,0,0,0,4687,1397,0.0665,0.0,0.59,6.48
2020-01-29,2020,1,2020-W05,Itasy,-19.0167,46.7667,1063882,31916,159582,511,64577,0.0607,6672,378,31,241,3,9.68,47.21,971,4208,1295,0,422,6474,0,0,0,6261,1531,0.0607,0.0,0.5885,5.67
2020-01-29,2020,1,2020-W05,Vakinankaratra,-19.8667,47.0333,2462316,73869,369347,1183,154879,0.0629,12920,858,74,524,8,10.81,44.33,2553,11063,3404,0,1113,17020,0,0,0,14621,3977,0.0629,0.0,0.5938,6.64
2020-01-29,2020,1,2020-W05,Amoron'i Mania,-20.0,47.1167,991145,29734,148671,476,66208,0.0668,6413,398,31,220,3,9.68,46.42,1008,4371,1347,0,313,6726,0,0,0,4408,1544,0.0668,0.0,0.4447,6.21
2020-01-29,2020,1,2020-W05,Haute Matsiatra,-21.4536,47.0854,1710391,51311,256558,822,114767,0.0671,8741,632,55,386,8,14.55,47.05,1579,6843,2106,0,719,10528,0,0,0,9610,2583,0.0671,0.0,0.5619,7.23
2020-01-29,2020,1,2020-W05,Vatovavy,-21.3167,47.9333,576905,17307,86535,277,44248,0.0767,3770,288,21,119,2,9.52,43.11,663,2873,884,0,206,4420,0,0,0,3095,1100,0.0767,0.0,0.5365,7.64
2020-01-29,2020,1,2020-W05,Fitovinany,-21.45,47.6167,1011279,30338,151691,486,76048,0.0752,5698,443,36,220,4,11.11,45.3,1220,5289,1629,0,514,8138,0,0,0,5822,2183,0.0752,0.0,0.5757,7.77
2020-01-29,2020,1,2020-W05,Ihorombe,-22.55,46.95,494097,14822,74114,237,34438,0.0697,3198,230,16,107,2,12.5,45.53,467,2027,625,0,179,3119,0,0,0,2133,830,0.0697,0.0,0.4317,7.19
2020-01-29,2020,1,2020-W05,Atsimo-Atsinanana,-22.9,47.65,1220000,36600,183000,586,92110,0.0755,8032,565,44,272,6,13.64,46.43,1413,6126,1887,0,389,9426,0,0,0,6118,2583,0.0755,0.0,0.5015,7.03
2020-01-29,2020,1,2020-W05,Atsinanana,-18.1492,49.4023,1750511,52515,262576,841,128312,0.0733,11065,817,61,389,7,11.48,46.26,1863,8076,2486,0,756,12425,1,0,0,9666,3188,0.0733,0.01,0.5522,7.38
2020-01-29,2020,1,2020-W05,Analanjirofo,-17.3333,49.4,864183,25925,129627,415,63431,0.0734,5574,373,30,183,4,13.33,44.1,974,4222,1300,0,284,6496,0,0,0,3573,1476,0.0734,0.0,0.4135,6.69
2020-01-29,2020,1,2020-W05,Ambatosoa,-21.0333,47.6333,652462,19573,97869,313,50239,0.077,4648,375,24,135,3,12.5,43.34,751,3257,1004,0,172,5012,0,0,0,2641,1320,0.077,0.0,0.4048,8.07
2020-01-29,2020,1,2020-W05,Alaotra-Mangoro,-17.8333,48.4167,1479918,44397,221987,711,104038,0.0703,8075,624,49,317,6,12.24,44.67,1473,6384,1965,0,528,9822,0,0,0,6403,2250,0.0703,0.0,0.4327,7.73
2020-01-29,2020,1,2020-W05,Boeny,-15.7167,46.3167,1100305,33009,165045,528,102988,0.0936,6003,612,49,229,6,12.24,43.43,1513,6556,2018,0,616,10087,1,0,0,6477,2407,0.0936,0.01,0.5887,10.19
