date,annee,mois,semaine_epidemio,region,latitude_region,longitude_region,population_region,incidence_regionale_annuelle,cas_pulmonaire_bacillifere,cas_pulmonaire_non_bacillifere,cas_extra_pulmonaire,cas_tb_multiresistante,nouveaux_cas,cas_coinfection_vih,deces_coinfection_vih,cas_enfants_moins_15_ans,cas_adultes_15_54_ans,cas_seniors_55_plus,tests_geneXpert_realises,tests_microscopie_realises,tests_lam_realises,cas_non_diagnostiques,patients_sous_traitement,patients_gueris,patients_abandon,patients_echec,deces,cas_detectes_prison,taux_incidence,taux_incidence_annuel,taux_letalite,taux_depistage,taux_succes_therapeutique
2020-01-20,2020,1,2020-W04,Vakinankaratra,-19.8667,47.0333,2462316,230,52,23,17,0,95,23,1,11,61,23,66,23,6,33,80,62,9,8,21,0,230,230,22.11,65.0,78.0
2020-01-20,2020,1,2020-W04,Haute Matsiatra,-21.4536,47.0854,1710391,225,35,16,11,0,65,16,1,7,42,16,45,16,4,22,55,42,6,5,14,0,225,225,21.54,65.0,78.0
2020-01-20,2020,1,2020-W04,Boeny,-15.7167,46.3167,1100305,220,26,12,8,0,49,12,0,5,31,13,34,12,3,17,41,31,4,4,12,0,220,220,24.49,65.0,78.0
2020-01-20,2020,1,2020-W04,Alaotra-Mangoro,-17.8333,48.4167,1479918,215,33,15,10,0,60,15,1,7,39,14,42,15,4,21,51,39,6,5,15,0,215,215,25.0,65.0,78.0
2020-01-20,2020,1,2020-W04,SAVA,-14.2833,50.1667,1330546,210,30,13,9,0,55,13,1,6,35,14,38,13,3,19,46,35,5,4,12,0,210,210,21.82,65.0,78.0
2020-01-20,2020,1,2020-W04,Atsimo-Andrefana,-23.35,43.6667,2128706,205,48,22,16,0,89,22,1,10,57,22,62,22,6,31,75,58,9,7,21,0,205,205,23.6,65.0,78.0
2020-01-20,2020,1,2020-W04,Itasy,-19.0167,46.7667,1063882,190,22,10,7,0,40,10,0,4,26,10,28,10,3,14,34,26,4,3,10,0,190,190,25.0,65.0,78.0
2020-01-20,2020,1,2020-W04,Bongolava,-18.9333,45.6667,794456,185,13,6,4,0,25,6,0,3,16,6,17,6,1,8,21,16,2,2,5,0,185,185,20.0,65.0,78.0
2020-01-20,2020,1,2020-W04,Diana,-12.2787,49.2917,1053715,180,17,7,5,0,31,7,0,3,20,8,21,7,2,10,26,20,3,2,7,0,180,180,22.58,65.0,78.0
2020-01-20,2020,1,2020-W04,Amoron'i Mania,-20.0,47.1167,991145,175,18,8,6,0,34,8,0,4,22,8,23,8,2,11,28,21,3,2,8,0,175,175,23.53,65.0,78.0
2020-01-20,2020,1,2020-W04,Atsimo-Atsinanana,-22.9,47.65,1220000,170,17,8,5,0,32,8,0,3,20,9,22,8,2,11,27,21,3,2,7,0,170,170,21.88,65.0,78.0
2020-01-20,2020,1,2020-W04,Fitovinany,-21.45,47.6167,1011279,165,15,7,5,0,29,7,0,3,18,8,20,7,2,10,24,18,2,2,6,0,165,165,20.69,65.0,78.0
2020-01-20,2020,1,2020-W04,Ihorombe,-22.55,46.95,494097,160,6,3,2,0,12,3,0,1,7,4,8,3,0,4,10,7,1,1,2,0,160,160,16.67,65.0,78.0
2020-01-20,2020,1,2020-W04,Betsiboka,-16.95,46.8167,465641,155,7,3,2,0,14,3,0,1,9,4,9,3,0,4,11,8,1,1,3,0,155,155,21.43,65.0,78.0
2020-01-20,2020,1,2020-W04,Melaky,-16.1167,44.7667,365790,150,5,2,1,0,10,2,0,1,6,3,7,2,0,3,8,6,0,0,2,0,150,150,20.0,65.0,78.0
2020-01-20,2020,1,2020-W04,Ambatosoa,-21.0333,47.6333,652462,150,9,4,3,0,17,4,0,2,11,4,11,4,1,5,14,10,1,1,4,0,150,150,23.53,65.0,78.0
2020-01-20,2020,1,2020-W04,Androy,-25.1667,46.0833,1065878,145,17,8,5,0,32,8,0,3,20,9,22,8,2,11,27,21,3,2,7,0,145,145,21.88,65.0,78.0
2020-01-20,2020,1,2020-W04,Anosy,-25.0333,46.9833,957916,140,13,6,4,0,24,6,0,2,15,7,16,6,1,8,20,15,2,2,5,0,140,140,20.83,65.0,78.0
2020-01-20,2020,1,2020-W04,Menabe,-20.2833,44.7833,819876,135,9,4,3,0,18,4,0,2,11,5,12,4,1,6,15,11,1,1,3,0,135,135,16.67,65.0,78.0
2020-01-20,2020,1,2020-W04,Vatovavy,-21.3167,47.9333,576905,130,7,3,2,0,14,3,0,1,9,4,9,3,0,4,11,8,1,1,3,0,130,130,21.43,65.0,78.0
2020-01-27,2020,1,2020-W05,Analanjirofo,-17.3333,49.4,864183,280,20,9,6,1,38,9,0,4,24,10,26,9,2,13,32,24,3,3,8,0,280,280,21.05,65.0,78.0
2020-01-27,2020,1,2020-W05,Analamanga,-18.9137,47.5247,4290727,260,102,46,33,2,187,46,3,22,121,44,130,46,13,65,158,123,18,15,42,0,260,260,22.46,65.0,78.0
2020-01-27,2020,1,2020-W05,Atsinanana,-18.1492,49.4023,1750511,255,44,20,14,1,81,20,1,9,52,20,56,20,6,28,68,53,8,6,21,0,255,255,25.93,65.0,78.0
2020-01-27,2020,1,2020-W05,Sofia,-14.8833,48.0333,1784988,250,41,18,13,0,75,18,1,9,48,18,52,18,5,26,63,49,7,6,18,0,250,250,24.0,65.0,78.0
2020-01-27,2020,1,2020-W05,Vakinankaratra,-19.8667,47.0333,2462316,230,61,27,19,0,111,27,2,13,72,26,77,27,8,38,94,73,11,9,25,0,230,230,22.52,65.0,78.0
2020-01-27,2020,1,2020-W05,Haute Matsiatra,-21.4536,47.0854,1710391,225,41,18,13,0,75,18,1,9,48,18,52,18,5,26,63,49,7,6,17,0,225,225,22.67,65.0,78.0
2020-01-27,2020,1,2020-W05,Boeny,-15.7167,46.3167,1100305,220,24,11,8,0,45,11,0,5,29,11,31,11,3,15,38,29,4,3,11,0,220,220,24.44,65.0,78.0
2020-01-27,2020,1,2020-W05,Alaotra-Mangoro,-17.8333,48.4167,1479918,215,31,14,10,0,58,14,1,6,37,15,40,14,4,20,49,38,5,4,12,0,215,215,20.69,65.0,78.0
2020-01-27,2020,1,2020-W05,SAVA,-14.2833,50.1667,1330546,210,30,14,10,0,56,14,1,6,36,14,39,14,4,19,47,36,5,4,13,0,210,210,23.21,65.0,78.0
2020-01-27,2020,1,2020-W05,Atsimo-Andrefana,-23.35,43.6667,2128706,205,39,18,12,0,72,18,1,8,46,18,50,18,5,25,61,47,7,6,15,0,205,205,20.83,65.0,78.0
2020-01-27,2020,1,2020-W05,Itasy,-19.0167,46.7667,1063882,190,20,9,6,0,37,9,0,4,24,9,25,9,2,12,31,24,3,3,9,0,190,190,24.32,65.0,78.0
2020-01-27,2020,1,2020-W05,Bongolava,-18.9333,45.6667,794456,185,12,5,3,0,22,5,0,2,14,6,15,5,1,7,18,14,2,1,5,0,185,185,22.73,65.0,78.0
2020-01-27,2020,1,2020-W05,Diana,-12.2787,49.2917,1053715,180,17,7,5,0,31,7,0,3,20,8,21,7,2,10,26,20,3,2,7,0,180,180,22.58,65.0,78.0
2020-01-27,2020,1,2020-W05,Amoron'i Mania,-20.0,47.1167,991145,175,15,7,5,0,28,7,0,3,18,7,19,7,2,9,23,17,2,2,7,0,175,175,25.0,65.0,78.0
2020-01-27,2020,1,2020-W05,Atsimo-Atsinanana,-22.9,47.65,1220000,170,19,9,6,0,36,9,0,4,23,9,25,9,2,12,30,23,3,3,9,0,170,170,25.0,65.0,78.0
2020-01-27,2020,1,2020-W05,Fitovinany,-21.45,47.6167,1011279,165,14,6,4,0,27,6,0,3,17,7,18,6,1,9,22,17,2,2,6,0,165,165,22.22,65.0,78.0
2020-01-27,2020,1,2020-W05,Ihorombe,-22.55,46.95,494097,160,6,3,2,0,12,3,0,1,7,4,8,3,0,4,10,7,1,1,3,0,160,160,25.0,65.0,78.0
2020-01-27,2020,1,2020-W05,Betsiboka,-16.95,46.8167,465641,155,7,3,2,0,14,3,0,1,9,4,9,3,0,4,11,8,1,1,3,0,155,155,21.43,65.0,78.0
2020-01-27,2020,1,2020-W05,Melaky,-16.1167,44.7667,365790,150,5,2,1,0,10,2,0,1,6,3,7,2,0,3,8,6,0,0,2,0,150,150,20.0,65.0,78.0
2020-01-27,2020,1,2020-W05,Ambatosoa,-21.0333,47.6333,652462,150,9,4,3,0,18,4,0,2,11,5,12,4,1,6,15,11,1,1,4,0,150,150,22.22,65.0,78.0
2020-01-27,2020,1,2020-W05,Androy,-25.1667,46.0833,1065878,145,14,6,4,0,26,6,0,3,16,7,18,6,1,9,22,17,2,2,5,0,145,145,19.23,65.0,78.0
2020-01-27,2020,1,2020-W05,Anosy,-25.0333,46.9833,957916,140,14,6,4,0,27,6,0,3,17,7,18,6,1,9,22,17,2,2,7,0,140,140,25.93,65.0,78.0
2020-01-27,2020,1,2020-W05,Menabe,-20.2833,44.7833,819876,135,11,5,3,0,21,5,0,2,13,6,14,5,1,7,17,13,2,1,4,0,135,135,19.05,65.0,78.0
2020-01-27,2020,1,2020-W05,Vatovavy,-21.3167,47.9333,576905,130,7,3,2,0,13,3,0,1,8,4,9,3,0,4,11,8,1,1,3,0,130,130,23.08,65.0,78.0
2020-02-03,2020,2,2020-W06,Analanjirofo,-17.3333,49.4,864183,280,26,12,8,1,49,12,0,5,31,13,34,12,3,17,41,31,4,4,12,0,280,280,24.49,65.0,78.0
2020-02-03,2020,2,2020-W06,Analamanga,-18.9137,47.5247,4290727,260,116,53,38,3,212,53,4,25,137,50,148,53,15,74,180,140,21,18,47,0,260,260,22.17,65.0,78.0
2020-02-03,2020,2,2020-W06,Atsinanana,-18.1492,49.4023,1750511,255,40,18,13,1,73,18,1,8,47,18,51,18,5,25,62,48,7,6,19,0,255,255,26.03,65.0,78.0
2020-02-03,2020,2,2020-W06,Sofia,-14.8833,48.0333,1784988,250,46,21,15,0,84,21,1,10,54,20,58,21,6,29,71,55,8,7,18,0,250,250,21.43,65.0,78.0
2020-02-03,2020,2,2020-W06,Vakinankaratra,-19.8667,47.0333,2462316,230,50,22,16,0,91,22,1,10,59,22,63,22,6,31,77,60,9,7,22,0,230,230,24.18,65.0,78.0
2020-02-03,2020,2,2020-W06,Haute Matsiatra,-21.4536,47.0854,1710391,225,32,14,10,0,59,14,1,7,38,14,41,14,4,20,50,39,6,5,13,0,225,225,22.03,65.0,78.0
2020-02-03,2020,2,2020-W06,Boeny,-15.7167,46.3167,1100305,220,24,11,7,0,44,11,0,5,28,11,30,11,3,15,37,28,4,3,11,0,220,220,25.0,65.0,78.0
2020-02-03,2020,2,2020-W06,Alaotra-Mangoro,-17.8333,48.4167,1479918,215,33,15,10,0,60,15,1,7,39,14,42,15,4,21,51,39,6,5,13,0,215,215,21.67,65.0,78.0
2020-02-03,2020,2,2020-W06,SAVA,-14.2833,50.1667,1330546,210,29,13,9,0,54,13,1,6,35,13,37,13,3,18,45,35,5,4,12,0,210,210,22.22,65.0,78.0
2020-02-03,2020,2,2020-W06,Atsimo-Andrefana,-23.35,43.6667,2128706,205,41,18,13,0,75,18,1,9,48,18,52,18,5,26,63,49,7,6,19,0,205,205,25.33,65.0,78.0
2020-02-03,2020,2,2020-W06,Itasy,-19.0167,46.7667,1063882,190,20,9,6,0,38,9,0,4,24,10,26,9,2,13,32,24,3,3,9,0,190,190,23.68,65.0,78.0
2020-02-03,2020,2,2020-W06,Bongolava,-18.9333,45.6667,794456,185,15,7,5,0,28,7,0,3,18,7,19,7,2,9,23,17,2,2,6,0,185,185,21.43,65.0,78.0
2020-02-03,2020,2,2020-W06,Diana,-12.2787,49.2917,1053715,180,16,7,5,0,30,7,0,3,19,8,21,7,2,10,25,19,3,2,7,0,180,180,23.33,65.0,78.0
2020-02-03,2020,2,2020-W06,Amoron'i Mania,-20.0,47.1167,991145,175,15,7,5,0,29,7,0,3,18,8,20,7,2,10,24,18,2,2,6,0,175,175,20.69,65.0,78.0
2020-02-03,2020,2,2020-W06,Atsimo-Atsinanana,-22.9,47.65,1220000,170,23,10,7,0,43,10,0,5,27,11,30,10,3,15,36,28,4,3,10,0,170,170,23.26,65.0,78.0
2020-02-03,2020,2,2020-W06,Fitovinany,-21.45,47.6167,1011279,165,18,8,6,0,34,8,0,4,22,8,23,8,2,11,28,21,3,2,8,0,165,165,23.53,65.0,78.0
2020-02-03,2020,2,2020-W06,Ihorombe,-22.55,46.95,494097,160,8,3,2,0,15,3,0,1,9,5,10,3,0,5,12,9,1,1,3,0,160,160,20.0,65.0,78.0
2020-02-03,2020,2,2020-W06,Betsiboka,-16.95,46.8167,465641,155,7,3,2,0,13,3,0,1,8,4,9,3,0,4,11,8,1,1,3,0,155,155,23.08,65.0,78.0
2020-02-03,2020,2,2020-W06,Melaky,-16.1167,44.7667,365790,150,4,2,1,0,9,2,0,1,5,3,6,2,0,3,7,5,0,0,2,0,150,150,22.22,65.0,78.0
2020-02-03,2020,2,2020-W06,Ambatosoa,-21.0333,47.6333,652462,150,8,4,2,0,16,4,0,1,10,5,11,4,1,5,13,10,1,1,3,0,150,150,18.75,65.0,78.0
2020-02-03,2020,2,2020-W06,Androy,-25.1667,46.0833,1065878,145,15,7,5,0,29,7,0,3,18,8,20,7,2,10,24,18,2,2,6,0,145,145,20.69,65.0,78.0
2020-02-03,2020,2,2020-W06,Anosy,-25.0333,46.9833,957916,140,14,6,4,0,27,6,0,3,17,7,18,6,1,9,22,17,2,2,7,0,140,140,25.93,65.0,78.0
2020-02-03,2020,2,2020-W06,Menabe,-20.2833,44.7833,819876,135,12,5,3,0,22,5,0,2,14,6,15,5,1,7,18,14,2,1,5,0,135,135,22.73,65.0,78.0
2020-02-03,2020,2,2020-W06,Vatovavy,-21.3167,47.9333,576905,130,6,2,1,0,11,2,0,1,7,3,7,2,0,3,9,7,1,0,2,0,130,130,18.18,65.0,78.0
2020-02-10,2020,2,2020-W07,Analanjirofo,-17.3333,49.4,864183,280,23,10,7,1,43,10,0,5,27,11,30,10,3,15,36,28,4,3,11,0,280,280,25.58,65.0,78.0
2020-02-10,2020,2,2020-W07,Analamanga,-18.9137,47.5247,4290727,260,123,56,40,3,225,56,4,27,146,52,157,56,16,78,191,148,22,19,52,0,260,260,23.11,65.0,78.0
2020-02-10,2020,2,2020-W07,Atsinanana,-18.1492,49.4023,1750511,255,42,19,14,1,78,19,1,9,50,19,54,19,5,27,66,51,7,6,20,0,255,255,25.64,65.0,78.0
2020-02-10,2020,2,2020-W07,Sofia,-14.8833,48.0333,1784988,250,42,19,13,0,77,19,1,9,50,18,53,19,5,26,65,50,7,6,17,0,250,250,22.08,65.0,78.0
2020-02-10,2020,2,2020-W07,Vakinankaratra,-19.8667,47.0333,2462316,230,57,26,18,0,105,26,2,12,68,25,73,26,7,36,89,69,10,8,27,0,230,230,25.71,65.0,78.0
2020-02-10,2020,2,2020-W07,Haute Matsiatra,-21.4536,47.0854,1710391,225,40,18,13,0,74,18,1,8,48,18,51,18,5,25,62,48,7,6,18,0,225,225,24.32,65.0,78.0
2020-02-10,2020,2,2020-W07,Boeny,-15.7167,46.3167,1100305,220,20,9,6,0,38,9,0,4,24,10,26,9,2,13,32,24,3,3,9,0,220,220,23.68,65.0,78.0
2020-02-10,2020,2,2020-W07,Alaotra-Mangoro,-17.8333,48.4167,1479918,215,36,16,11,0,66,16,1,7,42,17,46,16,4,23,56,43,6,5,14,0,215,215,21.21,65.0,78.0
2020-02-10,2020,2,2020-W07,SAVA,-14.2833,50.1667,1330546,210,28,12,9,0,51,12,0,6,33,12,35,12,3,17,43,33,5,4,13,0,210,210,25.49,65.0,78.0
2020-02-10,2020,2,2020-W07,Atsimo-Andrefana,-23.35,43.6667,2128706,205,46,21,15,0,85,21,1,10,55,20,59,21,6,29,72,56,8,7,21,0,205,205,24.71,65.0,78.0
2020-02-10,2020,2,2020-W07,Itasy,-19.0167,46.7667,1063882,190,21,9,7,0,39,9,0,4,25,10,27,9,2,13,33,25,3,3,9,0,190,190,23.08,65.0,78.0
2020-02-10,2020,2,2020-W07,Bongolava,-18.9333,45.6667,794456,185,13,6,4,0,25,6,0,3,16,6,17,6,1,8,21,16,2,2,6,0,185,185,24.0,65.0,78.0
2020-02-10,2020,2,2020-W07,Diana,-12.2787,49.2917,1053715,180,20,9,6,0,37,9,0,4,24,9,25,9,2,12,31,24,3,3,9,0,180,180,24.32,65.0,78.0
2020-02-10,2020,2,2020-W07,Amoron'i Mania,-20.0,47.1167,991145,175,19,8,6,0,35,8,0,4,22,9,24,8,2,12,29,22,3,2,8,0,175,175,22.86,65.0,78.0
2020-02-10,2020,2,2020-W07,Atsimo-Atsinanana,-22.9,47.65,1220000,170,20,9,6,0,37,9,0,4,24,9,25,9,2,12,31,24,3,3,9,0,170,170,24.32,65.0,78.0
2020-02-10,2020,2,2020-W07,Fitovinany,-21.45,47.6167,1011279,165,17,7,5,0,31,7,0,3,20,8,21,7,2,10,26,20,3,2,7,0,165,165,22.58,65.0,78.0
2020-02-10,2020,2,2020-W07,Ihorombe,-22.55,46.95,494097,160,8,3,2,0,15,3,0,1,9,5,10,3,0,5,12,9,1,1,3,0,160,160,20.0,65.0,78.0
